Verb	English	Tags	Notes
HABLAR	to speak	tier:1;word-type:verb;verb-type:ar;regularity:regular	Model regular -ar verb
COMER	to eat	tier:1;word-type:verb;verb-type:er;regularity:regular	Model regular -er verb
VIVIR	to live	tier:1;word-type:verb;verb-type:ir;regularity:regular	Model regular -ir verb
SER	to be	tier:1;word-type:verb;verb-type:er;regularity:highly-irregular;copula:true	Permanent state/identity
ESTAR	to be	tier:1;word-type:verb;verb-type:ar;regularity:highly-irregular;copula:true	Temporary state/location
TENER	to have	tier:1;word-type:verb;verb-type:er;regularity:irregular;stem-change:e-ie;verb-tense:future:irregular	Essential possession verb
IR	to go	tier:1;word-type:verb;verb-type:ir;regularity:highly-irregular	Essential motion verb
HACER	to do/make	tier:1;word-type:verb;verb-type:er;regularity:irregular;yo-form:irregular;verb-tense:preterite:irregular;verb-tense:future:irregular	Very common action verb
PODER	to be able/can	tier:1;word-type:verb;verb-type:er;regularity:irregular;stem-change:o-ue;verb-tense:future:irregular	Modal verb
QUERER	to want/love	tier:1;word-type:verb;verb-type:er;regularity:irregular;stem-change:e-ie;verb-tense:future:irregular	Essential desire verb
TOMAR	to take/drink	tier:1;word-type:verb;verb-type:ar;regularity:regular	Essential verb: beverages, transportation, classes, medicine
LLAMARSE	to be called/named	tier:2;word-type:verb;verb-type:ar;regularity:regular;reflexive:true	Essential identity (¿Cómo te llamas?)
LEVANTARSE	to get up/stand up	tier:2;word-type:verb;verb-type:ar;regularity:regular;reflexive:true	Morning routine essential
SENTARSE	to sit down	tier:2;word-type:verb;verb-type:ar;regularity:irregular;stem-change:e-ie;reflexive:true	Very common action
ACOSTARSE	to go to bed	tier:2;word-type:verb;verb-type:ar;regularity:irregular;stem-change:o-ue;reflexive:true	Evening routine essential
DESPERTARSE	to wake up	tier:2;word-type:verb;verb-type:ar;regularity:irregular;stem-change:e-ie;reflexive:true	Morning routine essential
DUCHARSE	to shower/bathe	tier:2;word-type:verb;verb-type:ar;regularity:regular;reflexive:true	Hygiene essential
LAVARSE	to wash oneself	tier:2;word-type:verb;verb-type:ar;regularity:regular;reflexive:true	Daily hygiene verb
LAVAR	to wash	tier:2;word-type:verb;verb-type:ar;regularity:regular	Essential cleaning verb
PONERSE	to put on/become	tier:2;word-type:verb;verb-type:er;regularity:irregular;yo-form:irregular;verb-tense:preterite:irregular;verb-tense:future:irregular;reflexive:true	From PONER (clothing/state change)
VESTIRSE	to get dressed	tier:2;word-type:verb;verb-type:ir;regularity:irregular;stem-change:e-i;verb-tense:preterite:stem-change:e-i;reflexive:true	Morning routine essential
QUEDARSE	to stay/remain	tier:2;word-type:verb;verb-type:ar;regularity:regular;reflexive:true	Very versatile verb
IRSE	to leave/go away	tier:3;word-type:verb;verb-type:ir;regularity:highly-irregular;reflexive:true	From IR (highly irregular)
VENIR	to come	tier:3;word-type:verb;verb-type:ir;regularity:irregular;stem-change:e-ie;verb-tense:preterite:irregular;verb-tense:future:irregular	Essential motion verb (pairs with IR)
PONER	to put/place	tier:3;word-type:verb;verb-type:er;regularity:irregular;yo-form:irregular;verb-tense:preterite:irregular;verb-tense:future:irregular	Essential placement verb
SALIR	to leave/go out	tier:3;word-type:verb;verb-type:ir;regularity:irregular;yo-form:irregular;verb-tense:future:irregular	Essential motion verb
DAR	to give	tier:3;word-type:verb;verb-type:ar;regularity:highly-irregular	Essential transfer verb
VER	to see	tier:3;word-type:verb;verb-type:er;regularity:irregular;yo-form:irregular	Essential perception verb
DECIR	to say/tell	tier:3;word-type:verb;verb-type:ir;regularity:irregular;stem-change:e-i;yo-form:irregular;verb-tense:preterite:irregular;verb-tense:future:irregular	Essential communication verb
SABER	to know	tier:3;word-type:verb;verb-type:er;regularity:irregular;yo-form:irregular;verb-tense:preterite:irregular;verb-tense:future:irregular	Knowledge of facts
OÍR	to hear	tier:3;word-type:verb;verb-type:ir;regularity:highly-irregular;spelling-change:true	Essential perception verb
TRAER	to bring	tier:3;word-type:verb;verb-type:er;regularity:irregular;yo-form:irregular;verb-tense:preterite:irregular	Essential transfer verb (pairs with LLEVAR)
